tconst,your_rating,personal_rank,elo,wins,losses,manual,graduated
tt0903747,10,1,1392,6,0,FALSE,TRUE
tt0417299,10,2,1389,5,1,TRUE,TRUE
tt6741278,10,3,1386,6,0,FALSE,TRUE
tt0468569,10,4,1386,6,0,FALSE,TRUE
tt0119217,10,5,1384,6,0,FALSE,TRUE
tt0111161,10,6,1370,4,2,TRUE,TRUE
tt2560140,10,7,1359,4,2,TRUE,TRUE
tt0944947,10,8,1358,5,1,TRUE,TRUE
tt7678620,10,9,1357,4,2,TRUE,TRUE
tt10986410,10,10,1357,4,2,TRUE,TRUE
tt7366338,10,11,1357,4,2,TRUE,TRUE
tt4574334,10,12,1357,5,1,FALSE,TRUE
tt1375666,10,13,1357,5,1,FALSE,TRUE
tt2861424,10,14,1336,2,4,TRUE,TRUE
tt0892769,10,15,1328,4,2,FALSE,TRUE
tt4633694,10,16,1312,6,0,TRUE,TRUE
tt9362722,10,17,1308,5,1,TRUE,TRUE
tt3890160,10,18,1307,3,3,TRUE,TRUE
tt0317705,10,19,1306,3,3,TRUE,TRUE
tt0167260,10,20,1304,2,4,TRUE,FALSE
tt0382932,10,21,1303,2,4,TRUE,TRUE
tt0118799,10,22,1303,3,3,TRUE,TRUE
tt2380307,10,23,1302,0,6,TRUE,FALSE
tt7129636,10,24,1300,0,0,FALSE,FALSE
tt5807780,10,25,1300,0,0,FALSE,FALSE
tt0322968,10,26,1300,0,0,FALSE,FALSE
tt3554580,10,27,1300,0,0,FALSE,FALSE
tt1568322,10,28,1300,0,0,FALSE,FALSE
tt0110357,10,29,1297,3,3,FALSE,TRUE
tt3581920,10,30,1296,3,3,FALSE,TRUE
tt3530232,10,31,1296,3,3,FALSE,FALSE
tt11126994,10,32,1278,2,4,FALSE,TRUE
tt5687612,10,33,1272,2,4,FALSE,TRUE
tt1865718,10,34,1272,2,4,FALSE,TRUE
tt0458254,10,35,1271,2,4,FALSE,TRUE
tt5348176,10,36,1264,2,4,FALSE,TRUE
tt0266543,10,37,1247,1,5,FALSE,TRUE
tt0115147,10,38,1244,1,5,FALSE,TRUE
tt0795176,10,39,1242,1,5,FALSE,FALSE
tt3315342,10,40,1240,1,5,FALSE,TRUE
tt2582802,10,41,1228,0,6,TRUE,FALSE
tt8503618,10,42,1216,0,6,FALSE,FALSE
tt1190634,10,43,1214,0,6,FALSE,FALSE
tt8420184,10,44,1211,0,6,FALSE,FALSE
tt1877830,9,1,1461,26,3,FALSE,FALSE
tt15239678,9,2,1334,6,0,FALSE,TRUE
tt0437745,9,3,1308,5,1,FALSE,TRUE
tt3322312,9,4,1304,5,1,FALSE,TRUE
tt8946378,9,5,1274,1,0,FALSE,FALSE
tt0120917,9,6,1274,1,0,FALSE,FALSE
tt1439629,9,7,1269,1,0,FALSE,FALSE
tt5052448,9,8,1267,1,0,FALSE,FALSE
tt0296310,9,9,1267,1,0,FALSE,FALSE
tt0496424,9,10,1267,1,0,FALSE,FALSE
tt0361748,9,11,1266,1,0,FALSE,FALSE
tt2584384,9,12,1266,1,0,FALSE,FALSE
tt5027774,9,13,1266,1,0,FALSE,FALSE
tt3032476,9,14,1266,1,0,FALSE,FALSE
tt1475582,9,15,1265,1,0,FALSE,FALSE
tt0397306,9,16,1265,1,0,FALSE,FALSE
tt0120815,9,17,1254,1,1,FALSE,FALSE
tt31193180,9,18,1250,0,0,FALSE,FALSE
tt16027074,9,19,1250,0,0,FALSE,FALSE
tt29623480,9,20,1250,0,0,FALSE,FALSE
tt0816692,9,21,1250,0,0,FALSE,FALSE
tt15435876,9,22,1250,0,0,FALSE,FALSE
tt22022452,9,23,1250,0,0,FALSE,FALSE
tt14681596,9,24,1250,0,0,FALSE,FALSE
tt16026746,9,25,1250,0,0,FALSE,FALSE
tt0110413,9,26,1250,0,0,FALSE,FALSE
tt14452776,9,27,1250,0,0,FALSE,FALSE
tt13309742,9,28,1250,0,0,FALSE,FALSE
tt15398776,9,29,1250,0,0,FALSE,FALSE
tt14681924,9,30,1250,0,0,FALSE,FALSE
tt3915174,9,31,1250,0,0,FALSE,FALSE
tt12496734,9,32,1250,0,0,FALSE,FALSE
tt4468740,9,33,1250,1,1,FALSE,FALSE
tt20723374,9,34,1250,0,0,FALSE,FALSE
tt6710474,9,35,1250,0,0,FALSE,FALSE
tt10366460,9,36,1250,0,0,FALSE,FALSE
tt0477348,9,37,1250,0,0,FALSE,FALSE
tt5580036,9,38,1250,0,0,FALSE,FALSE
tt13146488,9,39,1250,0,0,FALSE,FALSE
tt0172495,9,40,1250,0,0,FALSE,FALSE
tt10872600,9,41,1250,0,0,FALSE,FALSE
tt4729430,9,42,1250,0,0,FALSE,FALSE
tt2953050,9,43,1250,0,0,FALSE,FALSE
tt8050756,9,44,1250,0,0,FALSE,FALSE
tt5691474,9,45,1250,0,0,FALSE,FALSE
tt2883512,9,46,1250,0,0,FALSE,FALSE
tt5834204,9,47,1250,0,0,FALSE,FALSE
tt0038650,9,48,1250,0,0,FALSE,FALSE
tt0325980,9,49,1250,0,0,FALSE,FALSE
tt7658402,9,50,1250,0,0,FALSE,FALSE
tt5613056,9,51,1250,0,0,FALSE,FALSE
tt3783958,9,52,1250,0,0,FALSE,FALSE
tt4154796,9,53,1250,0,0,FALSE,FALSE
tt6524350,9,54,1250,0,0,FALSE,FALSE
tt4154756,9,55,1250,0,0,FALSE,FALSE
tt5462602,9,56,1250,0,0,FALSE,FALSE
tt2527336,9,57,1250,0,0,FALSE,FALSE
tt1125798,9,58,1250,0,0,FALSE,FALSE
tt1450746,9,59,1250,0,0,FALSE,FALSE
tt1282022,9,60,1250,0,0,FALSE,FALSE
tt1225687,9,61,1250,0,0,FALSE,FALSE
tt0928380,9,62,1250,0,0,FALSE,FALSE
tt1392190,9,63,1250,0,0,FALSE,FALSE
tt2250912,9,64,1250,0,0,FALSE,FALSE
tt0451279,9,65,1250,0,0,FALSE,FALSE
tt3183660,9,66,1250,0,0,FALSE,FALSE
tt1490017,9,67,1250,0,0,FALSE,FALSE
tt3322314,9,68,1250,0,0,FALSE,FALSE
tt2401256,9,69,1250,0,0,FALSE,FALSE
tt1431045,9,70,1250,0,0,FALSE,FALSE
tt3498820,9,71,1250,0,0,FALSE,FALSE
tt0097576,9,72,1250,0,0,FALSE,FALSE
tt0407887,9,73,1250,0,0,FALSE,FALSE
tt1533395,9,74,1250,0,0,FALSE,FALSE
tt1020990,9,75,1250,0,0,FALSE,FALSE
tt3170832,9,76,1250,0,0,FALSE,FALSE
tt2357547,9,77,1250,0,0,FALSE,FALSE
tt0082971,9,78,1250,0,0,FALSE,FALSE
tt1877832,9,79,1250,0,0,FALSE,FALSE
tt2096673,9,80,1250,0,0,FALSE,FALSE
tt0050083,9,81,1250,0,0,FALSE,FALSE
tt0852863,9,82,1250,0,0,FALSE,FALSE
tt0149460,9,83,1250,0,0,FALSE,FALSE
tt1561755,9,84,1250,0,0,FALSE,FALSE
tt1486217,9,85,1250,0,0,FALSE,FALSE
tt2980516,9,86,1250,0,0,FALSE,FALSE
tt1535109,9,87,1250,0,0,FALSE,FALSE
tt1569923,9,88,1250,0,0,FALSE,FALSE
tt2820466,9,89,1250,0,0,FALSE,FALSE
tt0169590,9,90,1250,0,0,FALSE,FALSE
tt1285016,9,91,1250,0,0,FALSE,FALSE
tt1646971,9,92,1250,0,0,FALSE,FALSE
tt2084970,9,93,1250,0,0,FALSE,FALSE
tt1049413,9,94,1250,0,0,FALSE,FALSE
tt0435761,9,95,1250,0,0,FALSE,FALSE
tt0167261,9,96,1250,0,0,FALSE,FALSE
tt0120737,9,97,1250,0,0,FALSE,FALSE
tt0120623,9,98,1250,0,0,FALSE,FALSE
tt23289160,9,99,1242,0,1,FALSE,FALSE
tt0080684,9,100,1242,0,1,FALSE,FALSE
tt8579674,9,101,1241,0,1,FALSE,FALSE
tt0097165,9,102,1241,0,1,FALSE,FALSE
tt0316654,9,103,1241,0,1,FALSE,FALSE
tt1825683,9,104,1241,0,1,FALSE,FALSE
tt2278388,9,105,1241,0,1,FALSE,FALSE
tt0133093,9,106,1240,0,1,FALSE,FALSE
tt2948372,9,107,1239,0,1,FALSE,FALSE
tt4698684,9,108,1238,0,1,FALSE,FALSE
tt1010048,9,109,1238,0,1,FALSE,FALSE
tt3513388,9,110,1237,0,1,FALSE,FALSE
tt2386490,9,111,1237,0,1,FALSE,FALSE
tt7014006,9,112,1236,0,1,FALSE,FALSE
tt6317068,9,113,1236,0,1,FALSE,FALSE
tt1981558,9,114,1236,0,1,FALSE,FALSE
tt13159924,9,115,1235,0,1,FALSE,FALSE
tt10048342,9,116,1235,0,1,FALSE,FALSE
tt0118298,9,117,1235,0,1,FALSE,FALSE
tt5580390,9,118,1235,0,1,FALSE,FALSE
tt3606756,9,119,1235,0,1,FALSE,FALSE
tt1759761,9,120,1235,0,1,FALSE,FALSE
tt0386676,9,121,1235,0,1,FALSE,FALSE
tt9253284,9,122,1234,0,1,FALSE,FALSE
tt9811316,9,123,1234,0,1,FALSE,FALSE
tt4302938,9,124,1234,0,1,FALSE,FALSE
tt5034326,9,125,1234,0,1,FALSE,FALSE
tt2103281,9,126,1234,0,1,FALSE,FALSE
tt0470752,9,127,1234,0,1,FALSE,FALSE
tt1504320,9,128,1234,0,1,FALSE,FALSE
tt2024544,9,129,1234,0,1,FALSE,FALSE
tt1631867,9,130,1233,0,2,FALSE,FALSE
tt2092588,9,131,1232,0,1,FALSE,FALSE
tt6751668,9,132,1230,0,2,FALSE,FALSE
tt1979376,9,133,1229,0,2,FALSE,FALSE
tt1663202,9,134,1228,0,2,FALSE,FALSE
tt0209144,9,135,1225,0,2,FALSE,FALSE
tt6644200,9,136,1224,0,2,FALSE,FALSE
tt8111088,9,137,1221,2,4,FALSE,TRUE
tt8332922,9,138,1212,0,3,FALSE,FALSE
tt5013056,8,1,1394,20,2,FALSE,TRUE
tt0268978,8,2,1284,6,0,FALSE,TRUE
tt7286456,8,3,1266,4,0,FALSE,FALSE
tt1270798,8,4,1256,5,1,FALSE,TRUE
tt1843866,8,5,1237,2,0,FALSE,FALSE
tt0107688,8,6,1232,3,1,FALSE,FALSE
tt7979580,8,7,1231,2,0,FALSE,FALSE
tt0942385,8,8,1231,2,0,FALSE,FALSE
tt2872718,8,9,1231,2,0,FALSE,FALSE
tt5463162,8,10,1229,4,2,FALSE,TRUE
tt2543164,8,11,1219,2,1,FALSE,FALSE
tt7131622,8,12,1217,1,0,FALSE,FALSE
tt3521164,8,13,1217,1,0,FALSE,FALSE
tt3748528,8,14,1217,1,0,FALSE,FALSE
tt2802144,8,15,1217,1,0,FALSE,FALSE
tt0910970,8,16,1217,1,0,FALSE,FALSE
tt14364480,8,17,1216,1,0,FALSE,FALSE
tt5136700,8,18,1216,1,0,FALSE,FALSE
tt3501632,8,19,1216,1,0,FALSE,FALSE
tt3896198,8,20,1216,1,0,FALSE,FALSE
tt1136608,8,21,1216,1,0,FALSE,FALSE
tt0080339,8,22,1216,1,0,FALSE,FALSE
tt0398286,8,23,1216,1,0,FALSE,FALSE
tt1045658,8,24,1216,1,0,FALSE,FALSE
tt0926084,8,25,1216,1,0,FALSE,FALSE
tt0848228,8,26,1216,1,0,FALSE,FALSE
tt2015381,8,27,1216,1,0,FALSE,FALSE
tt0372784,8,28,1216,1,0,FALSE,FALSE
tt0102926,8,29,1216,1,0,FALSE,FALSE
tt0076759,8,30,1216,1,0,FALSE,FALSE
tt1282140,8,31,1201,1,1,FALSE,FALSE
tt3513498,8,32,1201,1,1,FALSE,FALSE
tt0877057,8,33,1200,0,0,FALSE,FALSE
tt14205554,8,34,1200,0,0,FALSE,FALSE
tt16311594,8,35,1200,0,0,FALSE,FALSE
tt36414431,8,36,1200,0,0,FALSE,FALSE
tt32019314,8,37,1200,0,0,FALSE,FALSE
tt17163970,8,38,1200,0,0,FALSE,FALSE
tt0103064,8,39,1200,0,0,FALSE,FALSE
tt1745960,8,40,1200,0,0,FALSE,FALSE
tt12593682,8,41,1200,0,0,FALSE,FALSE
tt11198330,8,42,1200,0,0,FALSE,FALSE
tt13443470,8,43,1200,0,0,FALSE,FALSE
tt0114814,8,44,1200,0,0,FALSE,FALSE
tt22667880,8,45,1200,0,0,FALSE,FALSE
tt2930604,8,46,1200,0,0,FALSE,FALSE
tt7631058,8,47,1200,0,0,FALSE,FALSE
tt11564570,8,48,1200,0,0,FALSE,FALSE
tt2467372,8,49,1200,0,0,FALSE,FALSE
tt2382320,8,50,1200,0,0,FALSE,FALSE
tt13622958,8,51,1200,0,0,FALSE,FALSE
tt10857164,8,52,1200,0,0,FALSE,FALSE
tt7466442,8,53,1200,0,0,FALSE,FALSE
tt16116174,8,54,1200,0,0,FALSE,FALSE
tt1130884,8,55,1200,0,0,FALSE,FALSE
tt10160804,8,56,1200,0,0,FALSE,FALSE
tt10919420,8,57,1200,0,0,FALSE,FALSE
tt1160419,8,58,1200,0,0,FALSE,FALSE
tt10168312,8,59,1200,0,0,FALSE,FALSE
tt9561862,8,60,1200,0,0,FALSE,FALSE
tt9376612,8,61,1200,0,0,FALSE,FALSE
tt3189976,8,62,1200,0,0,FALSE,FALSE
tt12708542,8,63,1200,0,0,FALSE,FALSE
tt9140554,8,64,1200,0,0,FALSE,FALSE
tt14544192,8,65,1200,0,0,FALSE,FALSE
tt1321510,8,66,1200,0,0,FALSE,FALSE
tt12801262,8,67,1200,0,0,FALSE,FALSE
tt11337862,8,68,1200,0,0,FALSE,FALSE
tt9140560,8,69,1200,0,0,FALSE,FALSE
tt12366826,8,70,1200,0,0,FALSE,FALSE
tt9536832,8,71,1200,0,0,FALSE,FALSE
tt11464826,8,72,1200,0,0,FALSE,FALSE
tt0780521,8,73,1200,0,0,FALSE,FALSE
tt0137523,8,74,1200,0,0,FALSE,FALSE
tt1117563,8,75,1200,0,0,FALSE,FALSE
tt5727208,8,76,1200,0,0,FALSE,FALSE
tt1706620,8,77,1200,0,0,FALSE,FALSE
tt0458290,8,78,1200,0,0,FALSE,FALSE
tt1957945,8,79,1200,0,0,FALSE,FALSE
tt2616880,8,80,1200,0,0,FALSE,FALSE
tt3824386,8,81,1200,0,0,FALSE,FALSE
tt1659337,8,82,1200,0,0,FALSE,FALSE
tt7775622,8,83,1200,0,0,FALSE,FALSE
tt6857112,8,84,1200,0,0,FALSE,FALSE
tt1051906,8,85,1200,0,0,FALSE,FALSE
tt4520988,8,86,1200,0,0,FALSE,FALSE
tt0108778,8,87,1200,0,0,FALSE,FALSE
tt0934616,8,88,1200,0,0,FALSE,FALSE
tt2842418,8,89,1200,0,0,FALSE,FALSE
tt5565334,8,90,1200,0,0,FALSE,FALSE
tt3487356,8,91,1200,0,0,FALSE,FALSE
tt0115341,8,92,1200,0,0,FALSE,FALSE
tt1706593,8,93,1200,0,0,FALSE,FALSE
tt0106977,8,94,1200,0,0,FALSE,FALSE
tt0343314,8,95,1200,0,0,FALSE,FALSE
tt1396484,8,96,1200,0,0,FALSE,FALSE
tt0499549,8,97,1200,0,0,FALSE,FALSE
tt0386789,8,98,1200,0,0,FALSE,FALSE
tt3521126,8,99,1200,0,0,FALSE,FALSE
tt0883772,8,100,1200,0,0,FALSE,FALSE
tt3330488,8,101,1200,0,0,FALSE,FALSE
tt0469287,8,102,1200,0,0,FALSE,FALSE
tt4230076,8,103,1200,0,0,FALSE,FALSE
tt0206512,8,104,1200,0,0,FALSE,FALSE
tt2671706,8,105,1200,0,0,FALSE,FALSE
tt3640424,8,106,1200,0,0,FALSE,FALSE
tt3450958,8,107,1200,0,0,FALSE,FALSE
tt3322310,8,108,1200,0,0,FALSE,FALSE
tt0381061,8,109,1200,0,0,FALSE,FALSE
tt2119532,8,110,1200,0,0,FALSE,FALSE
tt1442437,8,111,1200,0,0,FALSE,FALSE
tt1695360,8,112,1200,0,0,FALSE,FALSE
tt0275137,8,113,1200,0,0,FALSE,FALSE
tt0096697,8,114,1200,0,0,FALSE,FALSE
tt1520211,8,115,1200,0,0,FALSE,FALSE
tt2948356,8,116,1200,0,0,FALSE,FALSE
tt0106364,8,117,1200,0,0,FALSE,FALSE
tt1398426,8,118,1200,0,0,FALSE,FALSE
tt0053488,8,119,1200,0,0,FALSE,FALSE
tt0105941,8,120,1200,0,0,FALSE,FALSE
tt0471711,8,121,1200,0,0,FALSE,FALSE
tt1054486,8,122,1200,0,0,FALSE,FALSE
tt0383126,8,123,1200,0,0,FALSE,FALSE
tt0934814,8,124,1200,0,0,FALSE,FALSE
tt3659388,8,125,1200,0,0,FALSE,FALSE
tt2388725,8,126,1200,0,0,FALSE,FALSE
tt1691338,8,127,1200,0,0,FALSE,FALSE
tt1334272,8,128,1200,0,0,FALSE,FALSE
tt1895587,8,129,1200,0,0,FALSE,FALSE
tt2381111,8,130,1200,0,0,FALSE,FALSE
tt2488496,8,131,1200,0,0,FALSE,FALSE
tt0081505,8,132,1200,0,0,FALSE,FALSE
tt0212671,8,133,1200,0,0,FALSE,FALSE
tt0455565,8,134,1200,0,0,FALSE,FALSE
tt0479113,8,135,1200,0,0,FALSE,FALSE
tt1425244,8,136,1200,0,0,FALSE,FALSE
tt0945571,8,137,1200,0,0,FALSE,FALSE
tt1245104,8,138,1200,0,0,FALSE,FALSE
tt0248808,8,139,1200,0,0,FALSE,FALSE
tt0405576,8,140,1200,0,0,FALSE,FALSE
tt2166834,8,141,1200,0,0,FALSE,FALSE
tt2313197,8,142,1200,0,0,FALSE,FALSE
tt3444938,8,143,1200,0,0,FALSE,FALSE
tt1266020,8,144,1200,0,0,FALSE,FALSE
tt1020072,8,145,1200,0,0,FALSE,FALSE
tt1798709,8,146,1200,0,0,FALSE,FALSE
tt3689498,8,147,1200,0,0,FALSE,FALSE
tt0126029,8,148,1200,0,0,FALSE,FALSE
tt0412142,8,149,1200,0,0,FALSE,FALSE
tt0285403,8,150,1200,0,0,FALSE,FALSE
tt0460649,8,151,1200,0,0,FALSE,FALSE
tt0103359,8,152,1200,0,0,FALSE,FALSE
tt0182576,8,153,1200,0,0,FALSE,FALSE
tt0898266,8,154,1200,0,0,FALSE,FALSE
tt0173528,8,155,1200,0,0,FALSE,FALSE
tt0108847,8,156,1200,0,0,FALSE,FALSE
tt3107288,8,157,1200,0,0,FALSE,FALSE
tt2193021,8,158,1200,0,0,FALSE,FALSE
tt0175058,8,159,1200,0,0,FALSE,FALSE
tt0363328,8,160,1200,0,0,FALSE,FALSE
tt0366005,8,161,1200,0,0,FALSE,FALSE
tt0491738,8,162,1200,0,0,FALSE,FALSE
tt1454468,8,163,1200,0,0,FALSE,FALSE
tt0120363,8,164,1200,0,0,FALSE,FALSE
tt0454921,8,165,1200,0,0,FALSE,FALSE
tt1542344,8,166,1200,0,0,FALSE,FALSE
tt2179136,8,167,1200,0,0,FALSE,FALSE
tt1318514,8,168,1200,0,0,FALSE,FALSE
tt0290334,8,169,1200,0,0,FALSE,FALSE
tt2027128,8,170,1200,0,0,FALSE,FALSE
tt0454876,8,171,1200,0,0,FALSE,FALSE
tt0107290,8,172,1200,0,0,FALSE,FALSE
tt0101414,8,173,1200,0,0,FALSE,FALSE
tt0198781,8,174,1200,0,0,FALSE,FALSE
tt2245084,8,175,1200,0,0,FALSE,FALSE
tt0056592,8,176,1200,0,0,FALSE,FALSE
tt0482571,8,177,1200,0,0,FALSE,FALSE
tt1345836,8,178,1200,0,0,FALSE,FALSE
tt0054215,8,179,1200,0,0,FALSE,FALSE
tt2267998,8,180,1199,1,1,FALSE,FALSE
tt0347149,8,181,1199,1,1,FALSE,FALSE
tt3076658,8,182,1197,3,3,FALSE,TRUE
tt8526872,8,183,1191,0,1,FALSE,FALSE
tt5848272,8,184,1191,0,1,FALSE,FALSE
tt9243946,8,185,1190,0,1,FALSE,FALSE
tt1727824,8,186,1189,0,1,FALSE,FALSE
tt1605783,8,187,1189,0,1,FALSE,FALSE
tt1517451,8,188,1188,0,1,FALSE,FALSE
tt0098635,8,189,1188,0,1,FALSE,FALSE
tt6320628,8,190,1187,0,1,FALSE,FALSE
tt0371746,8,191,1187,0,1,FALSE,FALSE
tt0878804,8,192,1187,0,1,FALSE,FALSE
tt3040964,8,193,1186,0,1,FALSE,FALSE
tt1211837,8,194,1186,0,1,FALSE,FALSE
tt2395427,8,195,1186,0,1,FALSE,FALSE
tt0103639,8,196,1186,0,1,FALSE,FALSE
tt0790636,8,197,1186,0,1,FALSE,FALSE
tt0117571,8,198,1185,0,1,FALSE,FALSE
tt4972582,8,199,1185,0,1,FALSE,FALSE
tt7653254,8,200,1185,0,1,FALSE,FALSE
tt6499752,8,201,1185,0,1,FALSE,FALSE
tt7689966,8,202,1185,0,1,FALSE,FALSE
tt0105793,8,203,1185,0,1,FALSE,FALSE
tt2381287,8,204,1185,0,1,FALSE,FALSE
tt0047396,8,205,1185,0,1,FALSE,FALSE
tt0432283,8,206,1185,0,1,FALSE,FALSE
tt0298148,8,207,1185,0,1,FALSE,FALSE
tt0095016,8,208,1184,0,1,FALSE,FALSE
tt6791350,8,209,1184,0,1,FALSE,FALSE
tt10954984,8,210,1184,0,1,FALSE,FALSE
tt0077651,8,211,1184,0,1,FALSE,FALSE
tt6264654,8,212,1184,0,1,FALSE,FALSE
tt4160708,8,213,1184,0,1,FALSE,FALSE
tt1074638,8,214,1184,0,1,FALSE,FALSE
tt7146812,8,215,1184,0,1,FALSE,FALSE
tt4912910,8,216,1184,0,1,FALSE,FALSE
tt7349662,8,217,1184,0,1,FALSE,FALSE
tt1772341,8,218,1184,0,1,FALSE,FALSE
tt4846340,8,219,1184,0,1,FALSE,FALSE
tt1700841,8,220,1184,0,1,FALSE,FALSE
tt3316960,8,221,1184,0,1,FALSE,FALSE
tt0478970,8,222,1184,0,1,FALSE,FALSE
tt0312004,8,223,1184,0,1,FALSE,FALSE
tt1065073,8,224,1184,0,1,FALSE,FALSE
tt0317219,8,225,1184,0,1,FALSE,FALSE
tt0093779,8,226,1184,0,1,FALSE,FALSE
tt0114709,8,227,1184,0,1,FALSE,FALSE
tt3741834,8,228,1183,0,1,FALSE,FALSE
tt1170358,8,229,1183,0,1,FALSE,FALSE
tt1950186,8,230,1182,0,2,FALSE,FALSE
tt1119646,8,231,1176,0,2,FALSE,FALSE
tt5950044,8,232,1172,0,2,FALSE,FALSE
tt6155172,8,233,1171,0,2,FALSE,FALSE
tt8589698,8,234,1170,0,2,FALSE,FALSE
tt1302006,8,235,1169,0,2,FALSE,FALSE
tt0964517,8,236,1169,0,2,FALSE,FALSE
tt28452191,8,237,1162,0,3,FALSE,FALSE
tt1856101,7,1,1346,20,2,FALSE,TRUE
tt0844471,7,2,1211,5,1,FALSE,TRUE
tt0073195,7,3,1210,5,1,FALSE,TRUE
tt0947798,7,4,1208,5,1,FALSE,TRUE
tt0120762,7,5,1204,5,1,FALSE,TRUE
tt0332379,7,6,1203,3,0,FALSE,FALSE
tt2294629,7,7,1185,2,0,FALSE,FALSE
tt0145487,7,8,1181,2,0,FALSE,FALSE
tt0120855,7,9,1181,2,0,FALSE,FALSE
tt0377092,7,10,1181,2,0,FALSE,FALSE
tt1430607,7,11,1178,4,2,FALSE,TRUE
tt2381249,7,12,1175,5,3,FALSE,FALSE
tt0970179,7,13,1173,4,2,FALSE,TRUE
tt9603212,7,14,1169,1,0,FALSE,FALSE
tt0876563,7,15,1168,1,0,FALSE,FALSE
tt0461770,7,16,1168,1,0,FALSE,FALSE
tt9419884,7,17,1167,1,0,FALSE,FALSE
tt1485796,7,18,1167,1,0,FALSE,FALSE
tt4116284,7,19,1167,1,0,FALSE,FALSE
tt0441773,7,20,1167,1,0,FALSE,FALSE
tt2294449,7,21,1167,1,0,FALSE,FALSE
tt0119282,7,22,1167,1,0,FALSE,FALSE
tt0088763,7,23,1166,1,0,FALSE,FALSE
tt10366206,7,24,1166,1,0,FALSE,FALSE
tt2283362,7,25,1166,1,0,FALSE,FALSE
tt4139124,7,26,1166,1,0,FALSE,FALSE
tt0343660,7,27,1166,1,0,FALSE,FALSE
tt0416449,7,28,1166,1,0,FALSE,FALSE
tt3578794,7,29,1166,1,0,FALSE,FALSE
tt1596363,7,30,1166,1,0,FALSE,FALSE
tt1825918,7,31,1166,1,0,FALSE,FALSE
tt2911666,7,32,1166,1,0,FALSE,FALSE
tt0486822,7,33,1166,1,0,FALSE,FALSE
tt0058536,7,34,1166,1,0,FALSE,FALSE
tt0993846,7,35,1166,1,0,FALSE,FALSE
tt0083866,7,36,1166,1,0,FALSE,FALSE
tt0903624,7,37,1166,1,0,FALSE,FALSE
tt1201607,7,38,1166,1,0,FALSE,FALSE
tt1323594,7,39,1165,1,0,FALSE,FALSE
tt0120630,7,40,1165,1,0,FALSE,FALSE
tt1853728,7,41,1165,1,0,FALSE,FALSE
tt1951264,7,42,1156,1,1,FALSE,FALSE
tt20969586,7,43,1152,1,1,FALSE,FALSE
tt2704998,7,44,1152,1,1,FALSE,FALSE
tt10676052,7,45,1150,0,0,FALSE,FALSE
tt13622970,7,46,1150,0,0,FALSE,FALSE
tt1517268,7,47,1150,0,0,FALSE,FALSE
tt13622776,7,48,1150,0,0,FALSE,FALSE
tt0365748,7,49,1150,0,0,FALSE,FALSE
tt1630029,7,50,1150,0,0,FALSE,FALSE
tt3484406,7,51,1150,0,0,FALSE,FALSE
tt13623148,7,52,1150,0,0,FALSE,FALSE
tt8466564,7,53,1150,0,0,FALSE,FALSE
tt3513500,7,54,1150,0,0,FALSE,FALSE
tt10234724,7,55,1150,0,0,FALSE,FALSE
tt0310460,7,56,1150,0,0,FALSE,FALSE
tt13668894,7,57,1150,0,0,FALSE,FALSE
tt0109830,7,58,1150,0,0,FALSE,FALSE
tt7888964,7,59,1150,0,0,FALSE,FALSE
tt15475608,7,60,1150,0,0,FALSE,FALSE
tt15476620,7,61,1150,0,0,FALSE,FALSE
tt14927356,7,62,1150,0,0,FALSE,FALSE
tt10633456,7,63,1150,0,0,FALSE,FALSE
tt13622982,7,64,1150,0,0,FALSE,FALSE
tt0289043,7,65,1150,0,0,FALSE,FALSE
tt6334354,7,66,1150,0,0,FALSE,FALSE
tt0166792,7,67,1150,0,0,FALSE,FALSE
tt3480822,7,68,1150,0,0,FALSE,FALSE
